Città,Località,Via,Sito/definizione manufatto,Epoca prima attestazione,Itinerario (periodo),Infomrazioni,geolocalizzazione,URL immagine,Bibliografia,Sitografia,Tipologia edificio,Rifunzionalizzato,Tipo di rifunzionalizzazione
Nocera Inferiore,Collina del parco,via del Parco,Castello del Parco,994,Medievale,"Il castello fu molto importante sin dalla sua fondazione. Infatti non solo rappresentò un punto strategico sia per i Longobardi e poi per gli Angioini, ma nelle sue stanze soggiornavano personaggi del calibro di Dante e Boccaccio. Nel '521 fu acquistato con la città dal duca Tiberio Corofa, tuttavia dopo la sua morte venne del tutto abbandonato fino al '800 quando venne riacquistato dai Fienga. Ad oggi è di proprietà del comune.","40.74970319867134,14.642455279827118",https://upload.wikimedia.org/wikipedia/commons/a/a3/TorreNormannaNocera.jpg,"Corolla A, Fiorillo R. (eds.), Nocera. Il castello dello Scisma d'Occidente, Firenze 2010.",,"Rudere, residenza signorile",Si,Nessuno
Nocera Inferiore,Vescovado,Via S.Prisco,Chiesa Cattedrale,955 d.C,Medievale,"Dalle pergamene cavesi si ha testimonianza dell esistenza di una chiesa dedicata a S.Prisco,situata nel luogo dell'attuale cattedrale,già nel 955 d.C. Nel corso poi del XIII secolo la chiesa incominciò a crescere notevolmente,inoltre il 10 ottobre 1384 papa Urbano VI conferì alla città ed al sito ecclesiastico la dignità di sede vescocile.","40.73801815509796,14.65237408876419",https://upload.wikimedia.org/wikipedia/commons/c/c1/CattedraleNocera.jpg,"Ruggiero G.,L'Abbazia di San Prisco di Nocera: ipotesi interpretative e prospettive di ricerca,in Rassegna Storica Salernitana,n.52,n.s.26/2,p.p. 11/56.",,Edificio religioso,No,Nessuno
Nocera Inferiore,Collina del Parco,Via S.Anna,Convento,1282,Medievale,"Appartenuti da sempre alle suore Domenicane la chiesa e il convento di S.Anna furono costruiti nel 1282,su commissione del vescovo di Capaccio Pietro nonchè consigliere del re angioino Carlo II. Le sue imponenti dimensioni mostrano le tracce di una serie di trasformazioni,la più importante delle quali è quella del 1685-1686,dovuta alle conseguenze di un disastroso terremoto. Infatti delle originarie forme gotiche restano tracce nelle mura esterne,in alcuni settori del Convento e un bel portale d'ingresso alla Chiesa. Inoltre ci rimangono alcuni affreschi del tardo '300 e primo '400.","40.749696493148804,14.639217853546144",https://upload.wikimedia.org/wikipedia/commons/5/56/ChiesaSanna.jpg,"fonti estratte dalla brochure di Monumenti porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,Nessuno
Nocera Inferiore,Centro,Corso Vittorio Emanuele II,Area archeologica,II a. C. - V d. C.,Antico,Il sito di Piazza del Corso è stato oggetto di indagini archeologiche  nel 1991. Durante gli scavi furono portati alle luce una serie di strutture realizzate tra  il II secolo a.C e il V secolo d.C. Nel 2015 durante la sistemazione dell'area furono effettuate nuove indagini i cui risultati sono ancora in corso di studio.,"40.74289977550507,14.63829517364502",https://upload.wikimedia.org/wikipedia/commons/c/c4/PiazzadelCorso01.jpg,"Fonti estratte dalla brochure di Monumenti porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Area archeologica,No,Nessuno
Nocera Inferiore,Centro,Corso Vittorio Emanuele II,Edicola funeraria di Fructus,Fonti sconosciute,Antico,Edicola funeraria di epoca romana appartenuta ad un tale chiamato Fructus. Ad oggi non ci restano che pochi resti ed un iscrizione in latino.,"40.742673128843315,14.639877676963808",http://spod.databenc.it:8001/images/5d2e753f-cd0a-4928-a53d-442549a18173/fructus.JPG,"Fortunato M., Kajava M., Magalhaes M.M.. Su un edicola con iscrizione inedita di Nuceria Costantia, in  Oebalus : Studi sulla Campania nell'Antichità.. 1, pp. 144-155, fig. 2 p. 147 .",,Stele funeraria,si,Museo cittadino
Nocera Inferiore,Borgo,Via F. Solimena,Convento,1515,Moderno,"Costruito molto probabilmente nel 1515,appartenne ai frati Benedettini Virginiani;dal 1716 divenne un abbazia dipendente da Montevergine. Tra il 1740 ed il 1759 fu completamente ristrutturato su commisione di   Mons. Nicola Letizia. Nel 1807,soppresso il Monastero, l'edifico fu acquistato da Costantino Amato,padre del letterato Saverio Costantino,che vi ospitò nel 1815 Murat fuggiasco. Oggi purtroppo è quasi del tutto abbandonato e rimangono solamente pochi elementi decorativi.","40.74831783771515,14.639450199902058",,"Fonti estratte dalla brochure di Monumenti a porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Ex edificio religioso,Si,Edificio per civili abitazioni (post 1806)
Nocera Inferiore,Collina Del Parco,Via Del Parco,Convento,1563,Moderno,"Costruito nel 1563, il convento di S. Andrea fu voluto dal duca Alfonso I Carrafa,il quale lo affidò ai Frati Cappuccini. Subì un importante restauro nel 1614,tuttavvia ad oggi di tutte le opere che lo abbellivano, ci rimane solo la tomba di Alfonso Carrafa,eretta nell'atrio del convento nel 1581.","40.7472133,14.6433202",https://upload.wikimedia.org/wikipedia/commons/a/a7/SantAndreaNocera5.jpg,"Fonti estratte  dalla brochure di Monumenti a porte aperte 2000 a cura di "" ARCHEOCLUB NUCERIA ALFATERNA """,,Edificio religioso,No,Nessuno
Nocera Inferiore,Mercato,Via Piazza S.Antonio,Chiesa\Convento,1256-1290,Medievale,"La costruzione della chiesa di S.Antonio,originariamente dedicata a S.Francesco,incominciò nel 1256 per poi finire nel  1286. Tuttavia subì importanti restauri, in particolare nel 1500 ad opera di Alfonso Carrafa,nel 1700 con l'aggiunta di alcune camere nel vicino convento ed infine nel 1829-31 su progetto dell'architetto Giovanni Rosalba. Inoltre non bisogna dimenticare la presenza di una pinacoteca nell'ala più antica del convento,dove si trovano reperti archeologici di epoca romana.","40.747153759002686,14.645808041095734",https://upload.wikimedia.org/wikipedia/commons/b/b5/ChiesaSAntonio.jpg,"Fonti estratte dalla brochure di monumenti porte aperte 2000 a cura di "" ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,Nessuno
Nocera Inferiore,S. Chiara,Via Raffaele Libroia,Chiesa\Convento,1283,Medievale,"La Chiesa di Santa Chiara appartenuta da sempre alle Clarisse,risale agli ultimi anni del '200 e ha avuto per secoli una notevle importanza come centro di spiritualità ed anche per le ricchezze accumulate. Soppresso dopo l'Unità,fu nel 1905 riacquistato dalle suore,che peraltro non l'avevano mai abbandonato. La parte più esterna della costruzione presenta un portale classicheggiante,che porta ad un raccolto cortile in fondo a cui si trova la Chiesa e, sulla destra,il Monastero.","40.742856860160835,14.62901271879673",http://spod.databenc.it:44588/images/5d2e753f-cd0a-4928-a53d-442549a18173/260px-SantaChiaraNocera2.jpg,"P.A. Pergamo, Il monastero di santa chiara in Noceria dei Pagani, Nocera Inferiore, 1961.",,Edificio religioso,No,Nessuno
Corbara,Borgo Sola,Via Franceso Robuffo Giordano,Cappella,XIX secolo,Moderno,"La cappella di S. Erasmo conserva una statua ottocentesca del Santo, una tela raffigurante il martirio di S. Erasmo ed una statua lignea di S. Lucia.","40.72027886286378,14.595392941846512",http://spod.databenc.it:44588/images/5d2e753f-cd0a-4928-a53d-442549a18173/Nocera-Inf.-S.Bartolomeo-Ap..jpg,"Fonti estratte dalla brochure di monumenti porte aperte a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,Nessuno
Pagani,Pagani  centro città,Piazza corpo di Cristo,Chiesa,XVI secolo,Moderno,"La Chiesa del Corpo di Cristo,fu costruita nel 1554, solo nel '700 assunse l'aspetto attuale, infatti all'interno si possono trovare dipinti ed affreschi di quell'epoca.","40.740850986912854,14.618504345125984",http://spod.databenc.it:45014/images/5d2e753f-cd0a-4928-a53d-442549a18173/luoghi-di-interesse-pagani-chiesa-parrocchiale-del-corpo-di-cristo (1).JPG,"Fonti estratte dalla brochure di Monumenti a porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,No
Pagani,Area periferica tra Pagani e Nocera Inferiore,Via Carmine,Chiesa,XV-XVI secolo,Moderno,Fondata nel 1191 dal duca di Nocera Francesco Zurlo nel '600 fu teatro di sanguinosi scontri. All' inferLa,"40.741360606625676,14.62410479754908",,"Fonti estratte dalla brochure di Monumenti porte aperte 2000 a cura di "" ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,Nessuno
Nocera Superiore,Santa Maria Maggiore,Santa Maria Maggiore,Battistero paleocristiano,fine V - inizi VI,Tardo antico,Fu costruita dai Bizantini nella seconda metà del VI secolo. Ripete la struttura del Battistero di Santa Costanza a Roma. All'interno è presente una vasca battesimale ottagonale di oltre 7 metri di diametro. Nell' edificio vi sono inoltre affreschi del '300 e '400.,"40.74240708723664,14.667694568051957",https://upload.wikimedia.org/wikipedia/commons/5/59/Nocera1.jpg,"Fonti stratte dalla brochure di Monumenti porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio religioso,No,Nessuno
Nocera Superiore,,Viale del Santuario,Chiesa,XI secolo,Medievale,"La chiesa di S.Maria Mater Domini venne costruita nel 1060 e conservata da Papa Nicolò II. Affidata ai Benedettini, nel 1631 passò ai Basiliani, fino alla soppressione nel 1807, quando parte del convento venne destinata al manicomio. Della vecchia Chiesa sono la tela di Guarino del 1615 raffigurante la Vergine e altre di Francesco Solimena.","40.753434151411064,14.68718254007399",,"Fonti estratte dalla brochure di Monumenti porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Struttura religiosa,Si,Parte della struttura divenne un manicomio oggi dismesso
Nocera Superiore,Pizzone,Stradale 18,Museo archeologico,90 a.C.,Antico,"la Necrolopi Ellenistica venne costruita ai lati di un asse stradale nel I secolo a.C. Tra gli edifici funerari annoveriamo quello edificato dalla gens Numisia , il mausoled della gens Cornelia, con la parte inferiore quadrata, sormontata da un tholos ed infine un edificio simile costruito, però, dalla gens Lutate.","40.74230968952179,14.666014797985556",,"Fonti estratte dalla brochure di Monumenti porte aperte 2000 a cura di ""ARCHEOCLUB NUCERIA ALFATERNA""",,Edificio pubblico,Si,Museo cittadino all'aperto
